"transcription_factor","target_gene"
"AR","COL8A2"
"AR","COL9A1"
"AR","COL10A1"
"AR","COL11A1"
"AR","COL12A1"
"AR","COL13A1"
"AR","COL15A1"
"AR","COL16A1"
"AR","COL19A1"
"AR","COPA"
"AR","KLF6"
"AR","SLC31A1"
"AR","SLC31A2"
"AR","MAP3K8"
"AR","COX5B"
"AR","COX10"
"AR","COX11"
"AR","CP"
"AR","CPA1"
"AR","CPA2"
"AR","CPA3"
"AR","CPM"
"AR","CPS1"
"AR","CREB1"
"AR","ATF2"
"AR","CREBBP"
"AR","ATF6B"
"AR","CRK"
"AR","CRYBA1"
"AR","CRYBB1"
"AR","CRYZ"
"AR","CS"
"AR","MAPK14"
"AR","CSF1"
"AR","CSF3"
"AR","CSK"
"AR","CSNK1D"
"AR","CSNK2B"
"AR","VCAN"
"AR","CSRP1"
"AR","CSRP2"
"AR","SLC25A10"
"AR","CST3"
"AR","CTBP1"
"AR","CTBP2"
"AR","CTGF"
"AR","CTNNA1"
"AR","CTNNA2"
"AR","CTNND1"
"AR","CTSB"
"AR","CTSK"
"AR","CTSO"
"AR","CTSS"
"AR","CTSW"
"AR","CUX1"
"AR","CX3CR1"
"AR","CYB5A"
"AR","CYP3A5"
"AR","DAB1"
"AR","DAB2"
"AR","DAG1"
"AR","DGKB"
"AR","DGKG"
"AR","DAP"
"AR","DAPK1"
"AR","DARS"
"AR","DAZL"
"AR","DBT"
"AR","DCN"
"AR","ACE"
"AR","DDB1"
"AR","DDC"
"AR","DDX3X"
"AR","DDX10"
"AR","DHX15"
"AR","DECR1"
"AR","DEFB1"
"AR","DES"
"AR","DFNA5"
"AR","DGUOK"
"AR","CYB5R3"
"AR","DIAPH1"
"AR","DIAPH2"
"AR","DIO1"
"AR","DIO2"
"AR","DLG1"
"AR","DLG3"
"AR","DLX1"
"AR","DMD"
"AR","DNAH5"
"AR","DNASE1L1"
"AR","DYNC1H1"
"AR","DYNC1I1"
"AR","DYNC1LI2"
"AR","DNMT1"
"AR","TRDMT1"
"AR","DNMT3A"
"AR","DOCK1"
"AR","DOCK2"
"AR","DOCK3"
"AR","DOK1"
"AR","DPH2"
"AR","DPP4"
"AR","DPT"
"AR","DPYD"
"AR","DPYSL2"
"AR","DPYSL3"
"AR","DR1"
"AR","DRD4"
"AR","DRP2"
"AR","RCAN1"
"AR","TSC22D3"
"AR","DSP"
"AR","DTNA"
"AR","DTNB"
"AR","HBEGF"
"AR","DTYMK"
"AR","ECM2"
"AR","DUSP1"
"AR","DUSP3"
"AR","DUSP5"
"AR","DYRK1A"
"AR","E2F2"
"AR","E2F3"
"AR","E2F5"
"AR","EBF1"
"AR","GPR183"
"AR","ECT2"
"AR","S1PR1"
"AR","LPAR1"
"AR","EDNRA"
"AR","PHC2"
"AR","EEF1A1"
"AR","EEF1G"
"AR","EIF2D"
"AR","EFNA5"
"AR","EFNB2"
"AR","EGF"
"AR","MEGF9"
"AR","EPHA2"
"AR","EIF4A2"
"AR","EIF4B"
"AR","EIF4E"
"AR","EIF4EBP2"
"AR","EIF4G1"
"AR","EIF4G2"
"AR","SERPINB1"
"AR","ELAVL2"
"AR","ELF2"
"AR","ELK3"
"AR","ELN"
"AR","EMD"
"AR","EMP1"
"AR","EMP2"
"AR","ENG"
"AR","ENO1"
"AR","ENPEP"
"AR","ENSA"
"AR","EPAS1"
"AR","EPB41L2"
"AR","STOM"
"AR","EPHA4"
"AR","EPHA5"
"AR","EPHA8"
"AR","EPHB2"
"AR","EPOR"
"AR","EPS8"
"AR","EPS15"
"AR","ERBB4"
"AR","ERCC1"
"AR","ERCC2"
"AR","EREG"
"AR","EYA4"
"AR","ERCC4"
"AR","ERG"
"AR","ESRRG"
"AR","ETFDH"
"AR","ETS2"
"AR","ETV4"
"AR","ETV5"
"AR","EVC"
"AR","MECOM"
"AR","EVI2A"
"AR","EVI2B"
"AR","EXT1"
"AR","EXT2"
"AR","EXTL2"
"AR","EYA1"
"AR","EYA2"
"AR","EYA3"
"AR","EZH2"
"AR","F2R"
"AR","F2RL2"
"AR","F3"
"AR","F5"
"AR","F13A1"
"AR","FANCC"
"AR","FANCD2"
"AR","ACSL3"
"AR","ACSL4"
"AR","PTK2B"
"AR","BPTF"
"AR","FAP"
"AR","FBLN1"
"AR","FARSA"
"AR","FAT1"
"AR","FBLN2"
"AR","FBN1"
"AR","EFEMP1"
"AR","FCN2"
"AR","GPC4"
"AR","FER"
"AR","FGF1"
"AR","FGF7"
"AR","FGF11"
"AR","FGF14"
"AR","GPC5"
"AR","FGR"
"AR","FHIT"
"AR","FHL1"
"AR","FHL3"
"AR","FKBP1A"
"AR","FKBP5"
"AR","FOXD1"
"AR","FOXL1"
"AR","FOXO1"
"AR","FOXO3"
"AR","FLNB"
"AR","FLNC"
"AR","FMR1"
"AR","AFF2"
"AR","FNTB"
"AR","FOLR3"
"AR","FOSB"
"AR","FOSL2"
"AR","FPR1"
"AR","FPR2"
"AR","FRK"
"AR","MTOR"
"AR","FRZB"
"AR","NR5A2"
"AR","FTH1"
"AR","FUCA1"
"AR","FUT4"
"AR","FUT8"
"AR","KDSR"
"AR","FYB"
"AR","FYN"
"AR","FZD2"
"AR","GABPB1"
"AR","GABRB1"
"AR","GABRE"
"AR","GABRR1"
"AR","GABRR2"
"AR","GAD1"
"AR","GALE"
"AR","GALK2"
"AR","GALNT2"
"AR","GALNT3"
"AR","GANC"
"AR","GAP43"
"AR","GAS1"
"AR","GAS6"
"AR","GAS8"
"AR","GATA4"
"AR","GBA"
"AR","GBE1"
"AR","GBP2"
"AR","GBP3"
"AR","GBX2"
"AR","BLOC1S1"
"AR","NR6A1"
"AR","GCNT1"
"AR","MSTN"
"AR","GDI2"
"AR","GFAP"
"AR","GFRA1"
"AR","GGCX"
"AR","B4GALT1"
"AR","GGT7"
"AR","GGT5"
"AR","GHR"
"AR","GHSR"
"AR","GJA1"
"AR","GK"
"AR","GPC3"
"AR","GCLC"
"AR","GCLM"
"AR","GLDC"
"AR","GLG1"
"AR","GLI2"
"AR","GLI3"
"AR","GLO1"
"AR","GLRA1"
"AR","GLRB"
"AR","GLS"
"AR","GLRX"
"AR","GLUD1"
"AR","GLUL"
"AR","GMDS"
"AR","GMPR"
"AR","GNA12"
"AR","GNA15"
"AR","GNAI1"
"AR","GNAI3"
"AR","GNAL"
"AR","GNAQ"
"AR","GNAS"
"AR","GNG4"
"AR","GNG5"
"AR","GNG7"
"AR","GNS"
"AR","GOLGA4"
"AR","GOLGB1"
"AR","GPD2"
"AR","GPM6B"
"AR","GPR1"
"AR","GPR3"
"AR","GPR39"
"AR","GRK4"
"AR","MKNK2"
"AR","GPX1"
"AR","GPX4"
"AR","GRB2"
"AR","GRB10"
"AR","GRB14"
"AR","RAPGEF1"
"AR","GRIA1"
"AR","GRIA3"
"AR","GRID2"
"AR","GRIK1"
"AR","GRIK2"
"AR","GRIN2D"
"AR","NR3C1"
"AR","ARHGAP35"
"AR","GRM1"
"AR","GRM5"
"AR","CXCL1"
"AR","CXCL2"
"AR","CXCL3"
"AR","GRPR"
"AR","GSK3B"
"AR","GSN"
"AR","GSR"
"AR","GSTA4"
"AR","GTF2E1"
"AR","GTF2F2"
"AR","GTF2I"
"AR","GUCA1B"
"AR","GUCY1B3"
"AR","GUCY2C"
"AR","GYG1"
"AR","GYPC"
"AR","GYS2"
"AR","GZMK"
"AR","HIST1H1C"
"AR","HIST1H1D"
"AR","HIST1H1T"
"AR","HIST1H2AE"
"AR","H2AFZ"
"AR","HADH"
"AR","HCRTR1"
"AR","HTT"
"AR","HDC"
"AR","HDGF"
"AR","HDLBP"
"AR","CFH"
"AR","HFE"
"AR","NRG1"
"AR","HIC1"
"AR","HIF1A"
"AR","HIP1"
"AR","HIVEP1"
"AR","HIVEP2"
"AR","HK1"
"AR","HK2"
"AR","MNX1"
"AR","HLA-DOB"
"AR","MR1"
"AR","HLCS"
"AR","HMGCR"
"AR","HMGA1"
"AR","HMOX2"
"AR","HNMT"
"AR","HNRNPA1"
"AR","HNRNPC"
"AR","HNRNPD"
"AR","HNRNPK"
"AR","HNRNPL"
"AR","HNRNPU"
"AR","TLX2"
"AR","HOXB1"
"AR","HOXB2"
"AR","HOXB3"
"AR","HOXB6"
"AR","HOXB7"
"AR","HOXB8"
"AR","HOXC9"
"AR","HOXC10"
"AR","HPCAL1"
"AR","AGFG2"
"AR","HRH1"
"AR","HSD17B3"
"AR","HSD17B2"
"AR","HSF2"
"AR","HSPA5"
"AR","HSPB2"
"AR","IGSF3"
"AR","DNAJB1"
"AR","HSPG2"
"AR","FOXN2"
"AR","HTR1B"
"AR","HTR1D"
"AR","HTR2B"
"AR","HTR3A"
"AR","HTR5A"
"AR","HTR7"
"AR","TNC"
"AR","IARS"
"AR","ID1"
"AR","ID2"
"AR","ID3"
"AR","SP110"
"AR","IFNGR2"
"AR","IGBP1"
"AR","IGF1"
"AR","IGF2R"
"AR","IGFBP1"
"AR","IGFBP7"
"AR","CYR61"
"AR","RBPJ"
"AR","IGLC1"
"AR","IGLC2"
"AR","IGLC3"
"AR","IKBKB"
"AR","IL1RAP"
"AR","IL4"
"AR","IL4R"
"AR","IL6R"
"AR","IL7R"
"AR","IL12A"
"AR","IL12B"
"AR","IL12RB2"
"AR","IL13RA1"
"AR","IL15"
"AR","IL16"
"AR","TNFRSF9"
"AR","IL18"
"AR","FOXK2"
"AR","ILF3"
"AR","IMPA2"
"AR","IMPG1"
"AR","ING1"
"AR","INPP1"
"AR","INPP5B"
"AR","INSR"
"AR","EIF3E"
"AR","ITGA6"
"AR","IREB2"
"AR","IRF2"
"AR","IRS1"
"AR","ITGA1"
"AR","ITGA3"
"AR","ITGA5"
"AR","ITGA7"
"AR","ITGAE"
"AR","ITGAV"
"AR","ITGB1"
"AR","ITGB2"
"AR","ITGB3"
"AR","ITGB5"
"AR","ITGB6"
"AR","ITGB8"
"AR","ITPK1"
"AR","ITPKA"
"AR","ITPKB"
"AR","ITPR1"
"AR","ITPR2"
"AR","JAK1"
"AR","JARID2"
"AR","JUNB"
"AR","CD82"
"AR","KCNA7"
"AR","KCNB1"
"AR","KCND2"
"AR","KCND3"
"AR","KCNE1"
"AR","KCNH1"
"AR","KCNJ2"
"AR","KCNJ5"
"AR","KCNJ6"
"AR","KCNJ10"
"AR","KCNJ15"
"AR","KCNJ16"
"AR","KCNK2"
"AR","KCNK3"
"AR","KCNMA1"
"AR","KCNN3"
"AR","KCNN4"
"AR","KCNQ3"
"AR","KIF3C"
"AR","KIF5C"
"AR","KLRD1"
"AR","KIF25"
"AR","KPNA1"
"AR","KPNA2"
"AR","KPNA4"
"AR","KPNA5"
"AR","IPO5"
"AR","KRT5"
"AR","KRT6A"
"AR","KRT12"
"AR","KRT31"
"AR","KRT81"
"AR","KTN1"
"AR","LAD1"
"AR","AFF3"
"AR","LAG3"
"AR","LAMA2"
"AR","LAMA3"
"AR","LAMA4"
"AR","LAMA5"
"AR","LAMB1"
"AR","LAMB3"
"AR","LAMC1"
"AR","LAMC2"
"AR","LAMP2"
"AR","STMN1"
"AR","LASP1"
"AR","LBR"
"AR","LCT"
"AR","LDLR"
"AR","LEPR"
"AR","LGALS8"
"AR","LHB"
"AR","LIF"
"AR","LIFR"
"AR","ABLIM1"
"AR","LIMS1"
"AR","LIPC"
"AR","FADS1"
"AR","LMNA"
"AR","LMO7"
"AR","LOXL1"
"AR","LOXL2"
"AR","LPP"
"AR","LRP1"
"AR","LRP6"
"AR","LRP5"
"AR","LSAMP"
"AR","LSS"
"AR","LTBP1"
"AR","LTBP2"
"AR","LTBR"
"AR","LUM"
"AR","LY75"
"AR","LYN"
"AR","TACSTD2"
"AR","TM4SF1"
"AR","MARCKS"
"AR","MXD1"
"AR","MAD2L1"
"AR","SMAD1"
"AR","SMAD4"
"AR","SMAD6"
"AR","SMAD7"
"AR","SMAD9"
"AR","MAN1A1"
"AR","MAN2A1"
"AR","MANBA"
"AR","MAP1A"
"AR","MAP1B"
"AR","MAP2"
"AR","MAP4"
"AR","MAS1"
"AR","MAT2A"
"AR","MATN1"
"AR","MATN2"
"AR","MAX"
"AR","MB"
"AR","MBNL1"
"AR","MBP"
"AR","MCC"
"AR","MCL1"
"AR","MCM6"
"AR","MDM4"
"AR","ME1"
"AR","ME2"
"AR","MECP2"
"AR","MEF2A"
"AR","MEF2C"
"AR","MEF2D"
"AR","MEIS1"
"AR","MEIS2"
"AR","MAP3K4"
"AR","MAP3K5"
"AR","MET"
"AR","MFAP1"
"AR","MFGE8"
"AR","MGAT5"
"AR","KITLG"
"AR","MGMT"
"AR","CIITA"
"AR","CD99"
"AR","MICB"
"AR","MIPEP"
"AR","MITF"
"AR","MLH1"
"AR","MAP3K9"
"AR","MLLT1"
"AR","AFF1"
"AR","MLLT3"
"AR","MLLT4"
